Text,Sentiment,word_count,char_count,clean_text,pred_label_GPT,pred_label_RoBERTa
Won't believe AAP uptrend is back until it crosses above MA(50),0,11,63,believe aap uptrend back cross,0,1
X swing still on   ,1,4,19,swing still,0,1
SWY - 30% of float short and breaking out - ouch,1,11,48,swy float short breaking ouch,0,0
BIOF wants 4.90's comin!!!,1,4,26,biof want comin,1,1
VS inverted head and shoulder play out well. Wasn't able to catch the entry. Eyes on it  ,1,17,89,inverted head shoulder play well able catch entry eye,0,1
" red, not ready for break out.",0,6,30,red ready break,0,1
EI close to breaking out now.  My trigger is at 30.40.   ,1,11,57,close breaking trigger,1,0
user BAC For a quick Trade to late..But for investing ~11.98 is a good entry point IMHO,1,17,87,user bac quick trade late investing good entry point imho,1,1
"CHDN - ong   49.02. Trailing Stop  56.66 from 6 prior Stops of 54.17, 49.88, 49.82, 45.47, 43.02 & 41.92 -  ",1,20,108,chdn ong trailing stop prior stop,0,1
AAP VOME today is impressive. At this rate and well probably get to 30M shares traded today.,1,17,92,aap vome today impressive rate well probably get share traded today,1,1
"user: been adding VXY long off the bottom today for trade, also got WPI near low",0,16,80,user adding vxy long bottom today trade also got wpi near low,1,1
"I repeat, if global economy is going to get better this year go with C instead of BAC",1,18,85,repeat global economy going get better year instead bac,0,1
GOOG go ONG on close above 725.,1,7,31,goog ong close,1,1
NKD looking like a good short. Failed to break price level resistance at 116 today.,0,15,83,nkd looking like good short failed break price level resistance today,0,1
GS like the price action. So far holding above 130. Still deciding whether to go ONG calls or stocks.,1,19,101,like price action far holding still deciding whether ong call stock,0,1
SBX buy when it clears resistance at 54.5,1,8,41,sbx buy clear resistance,1,1
here is NEW up target for AAP and notice shakeout reading at -8.49 ! and we had buy dot Monday  ,1,20,96,new target aap notice shakeout reading buy dot monday,1,1
Too early to short into this move. Stock Market needs a few days to settle down. #Patience  COH BWD DT AAP PAY,0,22,110,early short move stock market need day settle patience coh bwd aap pay,0,0
AAP obbers hit Apple Store in Paris.  Prefer to take merchendise over cash.  Bullish.  ,1,14,87,aap obbers hit apple store paris prefer take merchendise cash bullish,1,1
AXA Here is my tip of the day. Buy now! You do not even have to sign up for a newsletter or anything O If I'm wrong I will eat crow :),1,32,134,axa tip day buy even sign newsletter anything wrong eat crow,0,0
X out the 1/2 due to the move today and the Kirby on the daily around 26.00 - still swinging 1/2  ,1,21,98,due move today kirby daily around still swinging,0,1
"AAP 10 min short won now longs have fully added in, look for a pop here with market,shakeout reset  ",1,19,100,aap min short longs fully added look pop market shakeout reset,1,1
NG stellar move - still long swing - full position - I believe user & user in it 2  ,1,19,84,stellar move still long swing full position believe user user,1,1
ATICE & TADE SETP:  KO AN CNX,1,7,29,atice tade setp cnx,0,1
IDCC 50SMA acting as a good support. Short-term momentum indicators have switched to the upside.  ,1,15,98,idcc sma acting good support short term momentum indicator switched upside,1,1
"NEW POST: BAC Is At 19 Month Highs, But Showing Signs of Stress  ",1,13,65,new post bac month high showing sign stress,0,0
c two daily  bull flags on top of each other=bullish still  ,1,11,60,two daily bull flag top bullish still,1,1
NG - traditional and AT point and figure - bullish BY signals multiyear high  ,1,14,78,traditional point figure bullish signal multiyear high,1,1
jpm closed>10sma on Monday(u know my rules)...large cup n handle....still bullish  ,1,11,83,jpm closed sma monday know rule large cup handle still bullish,1,1
EOG ascending triangle - original target 127 extension EPS Feb 11th? 1/2 position swing  ,1,14,89,eog ascending triangle original target extension eps feb th position swing,0,1
"aapl daily , broke downtrend(from closing prices) now w v pattern back in play.......600 target  ",1,15,97,aapl daily broke downtrend closing price pattern back play target,1,0
PHM PulteGroup Option Bear bets 1.5 Million on 11% down move by April  ,0,13,71,phm pultegroup option bear bet million move april,0,1
BAC In a 11.97 for a trade,1,7,26,bac trade,0,1
Short Setups displaying relative weakness: AO COH PAY BWD DT SHD WTW P Prepare to short the stall. ES_F  ,0,19,105,short setup displaying relative weakness coh pay bwd shd wtw prepare short stall,0,0
"When AMZN monetize all electronics it makes with traffic to marketplace, AAP GOOG will wake up and say why didn't we buy EBAY",1,23,125,amzn monetize electronics make traffic marketplace aap goog wake say buy ebay,0,1
"CVI starting with a clean book, making first buy of the yr - entry 49.54 stop 47.43  ",1,17,85,cvi starting clean book making first buy entry stop,1,1
SAM cheers to the temporary solution to our economic woes - entry 139.81 stop 131.92  ,1,15,86,sam cheer temporary solution economic woe entry stop,1,0
SK to the GAVE!,0,4,15,gave,0,1
ovti ttm ending Oct 2012 Negative 151 million operational cash flow.. 273% decline vs yoy ttm ending oct 2011,0,19,109,ovti ttm ending oct negative million operational cash flow decline yoy ttm ending oct,0,0
AAP and GOOG should respond positively to good jobless claims numbers,1,11,69,aap goog respond positively good jobless claim number,1,1
Analyst price targets and earnings targets coming down---EXACTY what you want to see prior AAP reporting.,1,16,105,analyst price target earnings target coming exacty want see prior aap reporting,0,1
user Nice! Color me an INTC bull as well!,1,9,41,user nice color intc bull well,1,1
"Heads p: AA Earnings (1/8/13) ess Than a Week Away, Tho The Season Doesn't EAY Begin Cranking 'Til 1/16 w/ GS JPM EBAY et al...",1,25,127,head earnings es week away tho season eay begin cranking til jpm ebay,0,1
"trade idea buy WO  market 26.64, target 36, cut below 23.50  ",1,11,61,trade idea buy market target cut,1,0
"Trade idea buy DC  market 58.50, target 67 , cut below 53  ",1,12,59,trade idea buy market target cut,1,0
GOOG looks all set to make new ATH. Now before or after E is the unknown.,1,16,73,goog look set make new ath unknown,1,0
GOOG trade this one long verse 10sma  ,1,7,38,goog trade one long verse sma,0,0
"FNF - ong  19.43. Trailing Stop  21.04 from 6 prior Stops of 19.71, 19.52, 18.70, 18.65, 18.07 and 17.87 -  ",1,20,108,fnf ong trailing stop prior stop,0,0
"FOD should see a solid move up tom, system predict nice green candle.",1,13,69,fod see solid move tom system predict nice green candle,1,1
This is the year of fitness and health apps...the winners will be gynormous and the speculation will run high  nke,1,20,114,year fitness health apps winner gynormous speculation run high nke,0,1
It's time to invest in MSFT COMPQ   ,1,7,36,time invest msft compq,1,1
"New Post: Shorts Will Make Dimes, ongs Will Make Dollars  AAP SPX QQQ P",1,14,71,new post short make dime ongs make dollar aap spx qqq,0,1
nbelieveable payment trend that VC's are chasing has easily played out in public markets.... EBAY V and Mastercard MA all time highs,1,22,132,nbelieveable payment trend chasing easily played public market ebay mastercard time high,1,1
Some of the watch list stocks that triggered today OEX AGNX TV VBD XIDE PPC EXP  ONTY  BMN FS WK CHMT FBC  ISI AIG,1,24,114,watch list stock triggered today oex agnx vbd xide ppc exp onty bmn chmt fbc isi aig,0,1
Nice Bull flag breakout here OC #technology #software  ,1,8,55,nice bull flag breakout technology software,1,1
My setup alerts went bonkers today..One of many that got triggered.Cup+Handle breakout in PFE   ,1,14,96,setup alert went bonkers today one many got triggered cup handle breakout pfe,1,0
The host with the most....congrats to the cloud today AX and user more all-time highs.  wow,1,16,91,host congrats cloud today user time high wow,1,1
X Did .S. Steel Just Breakout?  MT too,1,8,38,steel breakout,0,1
DNDN has broken through the clear 5.5 resistanc level on heavy volume & could be headed much higher  ,1,18,101,dndn broken clear resistanc level heavy volume could headed much higher,1,1
EXPE looks good for higher prices  ,1,6,35,expe look good higher price,1,1
apc weekly setting up long.  ,1,5,29,apc weekly setting long,1,1
I am going into this morning long 3 each AAP 560 call options & GOOG 725 calls Jan 4th expiration,1,20,97,going morning long aap call option goog call jan th expiration,1,1
ES_F path higher unthreatened unless 1452.25 support fails. See resistance at 1466.00 SPX #stocks.  ,1,14,100,path higher unthreatened unless support fails see resistance spx stock,0,0
Monitor the S line/price dynamic. Stocks that closed Dec.28 with the S line in new highs be4 price. MHO TSM IPGP EQIX BC BDC ASH,1,25,128,monitor line price dynamic stock closed dec line new high price mho tsm ipgp eqix bdc ash,0,1
DDD IDCC continue higher,1,4,24,ddd idcc continue higher,1,1
"Had hoped to pick up some OST today, but looks like I'm a day too late. Nice move up this morning.",1,21,98,hoped pick ost today look like day late nice move morning,0,1
GPS wow that wa s a fast fast fade...,0,9,37,gps wow fast fast fade,0,1
AMZN going above 260. Should go near 300 if market behaves for a few weeks.,1,15,75,amzn going near market behaves week,1,1
Huston we have a GEEN AAP,1,6,25,huston geen aap,0,1
P long 9.55,1,3,11,long,0,1
HN breakout...but 3rd day up so look for pullback to enter long.  ,1,12,66,breakout rd day look pullback enter long,0,1
NG - ascend triangle much like FS & X breakouts 127 exten then 161.8 targets - fibs subjective  ,1,18,96,ascend triangle much like breakout exten target fib subjective,0,1
KCG ... things that make you go hmmmm?  ,1,8,40,kcg thing make hmmmm,0,1
VNG - Huge  news from patent attorney Dan avicher  ,1,9,51,vng huge news patent attorney dan avicher,1,1
NG nhod - check the weekly - target previous lows 2006 :),1,12,57,nhod check weekly target previous low,0,1
NG nhod - what do you see? check the weekly - target previous lows 2006 :)   ,1,16,77,nhod see check weekly target previous low,0,1
AIG American International Group Option Traders bet on 4% down move by next Friday  ,0,14,84,aig american international group option trader bet move next friday,0,1
P out balance +.32,1,4,18,balance,0,1
VNG buys vs. Sells?,1,4,19,vng buy sell,0,1
BAC In  12.00 since there is consolidation  this level. We could close = > 12.09 if market is stable in pm IMHO.,1,22,112,bac since consolidation level could close market stable imho,0,1
VNG Parabolic moves are a comin',1,6,32,vng parabolic move comin,0,1
New Sony pre-owned block tech patent unearthed SNE ... 50% of GME profits from pre owned ..last one out turn off the lights,0,23,123,new sony pre owned block tech patent unearthed sne gme profit pre owned last one turn light,0,1
"we liked VS, we love WYNN from 111 entry to new up target yesterday at 121. very nice !   ",1,19,90,liked love wynn entry new target yesterday nice,1,1
user: SPX 1464.90 Wave iv would be 20 points lower [1467.00 KEY] ES_F HOD 1460.00 (under neckline 1458.50 very bearish) ,0,20,120,user spx wave would point lower key hod neckline bearish,0,0
"DDD consolidating the strong move from previous days between 55 and 60, next buy point above 60 on volume (holding).",1,20,116,ddd consolidating strong move previous day next buy point volume holding,1,1
VNG - 12 mil shares shorts plus long buying = massive VNG short squeeze. Just when you thought story was dead avicher kills short thesis,1,25,136,vng mil share short plus long buying massive vng short squeeze thought story dead avicher kill short thesis,1,0
"Wow, not good for BKS T user ... sales for the Nook were down 13% over the holidays  ",0,18,85,wow good bk user sale nook holiday,0,1
AC from watch list - volume did pick up and is now 139% of full day average -from 200-day bounce   ,1,20,99,watch list volume pick full day average day bounce,1,1
"The new wightwatchers ads are more fun and light and with regular people more interesting, but I still dont trust them WTW (no position)",0,24,136,new wightwatchers ad fun light regular people interesting still dont trust wtw position,0,0
AMZN holding up well - next buy point when clears this upper trend line on heavy volume  ,1,17,89,amzn holding well next buy point clear upper trend line heavy volume,1,1
MA exactly what you want to see a follow thru day after breaking out to new highs on volume  ,1,19,93,exactly want see follow thru day breaking new high volume,1,1
ZCS user There's your buying,1,5,28,zcs user buying,1,0
AAP SPY no more QE for 2013. Now bring the Geithner.,0,11,52,aap spy bring geithner,0,0
Over extended stock market + unexpected news from the FED minutes = Down ESD & a panicky ES_F NQ_F.,0,19,99,extended stock market unexpected news fed minute esd panicky,0,0
"SPY ncle Ben needed to spice up things a little. AAP people were bored, wake up now.",0,17,84,spy ncle ben needed spice thing little aap people bored wake,0,0
AAP might close at the lows of the day. Bears will be in control again below the descending trendline. Watch it.,0,21,112,aap might close low day bear control descending trendline watch,0,0
FAN - seeking 200d. Im adding some synthetic shorts here and will add again at 200d.,0,16,84,fan seeking adding synthetic short add,0,0
"CWST low of day 4.50, near high of day 4.56, watchn for b/out, minimal risk",1,15,75,cwst low day near high day watchn minimal risk,0,1
All of the above: gme Gamestop short targets  spy,0,9,49,gme gamestop short target spy,0,0
time to get out of the #cloud stocks VMW CM,0,10,43,time get cloud stock vmw,0,1
BAC Keep Overniight mmy pos. will bin premarket Tmorrow too.,1,10,60,bac keep overniight mmy po bin premarket tmorrow,0,1
Polk Expects 2013 .S. New Vehicle egistrations to each 15.3 Million - Polk -  F GM I think this is low,1,21,102,polk expects new vehicle egistrations million polk think low,0,0
Very bullish on market  also talked trends for SCTY OST ANGI FIO  PANW A JCP P YEP MNST GPN on show.,1,21,100,bullish market also talked trend scty ost angi fio panw jcp yep mnst gpn show,1,1
BAC what happens next?  ,0,4,24,bac happens next,0,0
KCG someone bought 3.22k 4 Jan 18 Calls....,1,8,43,kcg someone bought k jan call,0,0
Man I didnt know about Skippy when I made this...would have thrown in a jar H #Hormel  ,1,17,87,man didnt know skippy made would thrown jar hormel,0,0
"Big move in bonds today, 7 months high for 10 y rate, still going lower here ZN_F, could get truly ugly if good NFP number in AM SPY TT",1,29,135,big move bond today month high rate still going lower could get truly ugly good nfp number spy,0,0
Market Wrap Video + Additions to Watch ist  including: BCEI BJI CEE ES SONS SQNM NX YEP,1,17,87,market wrap video addition watch ist including bcei bji cee son sqnm yep,0,1
Maybe when vrng asked the judge for a 7% royalty it became too risky for goog to deal with?  they want to settle,1,23,112,maybe vrng asked judge royalty became risky goog deal want settle,0,0
BJI Over 35.53 if good volume  ,1,6,31,bji good volume,0,1
CEE Over 35.12  ,1,3,16,cee,0,1
SQNM  Over 5.05  ,1,3,17,sqnm,0,1
NX On flag break  ,1,4,18,flag break,0,1
3D Systems Brings Next-Gen Consumer 3D Printing to CES 2013  DDD,1,11,64,system brings next gen consumer printing ce ddd,0,1
AAP will top out in April when Aston Kutcher stars in 'jOBS'.  Kinda like how Facebook did when 'Social Network' came out. FB,0,23,125,aap top april aston kutcher star job kinda like facebook social network came,0,1
"VNG w/ MACD turning up & above its signal line, VNG could post a nice rally from current levels  ",1,19,97,vng macd turning signal line vng could post nice rally current level,1,1
PI 3Q 10Q operational cash flow for 9mos -20million. 269%decline vs. 9mos year ago.,0,14,83,q operational cash flow mo million decline mo year ago,0,0
bbby 3Q 10Q Operational Cash Flow 135 million. 53 increase vs. year ago Q3. 64% improvement q o q,1,19,97,bbby q operational cash flow million increase year ago improvement,1,1
DI 6mos operational cash flow 267 million. increases 187 million vs.6mos year ago. 233% increase,1,15,96,mo operational cash flow million increase million mo year ago increase,1,1
AM 3Q 10Q 9mos operational cash flow 32 million vs. neg 26 mil 9mos year ago.,1,16,77,q mo operational cash flow million neg mil mo year ago,1,1
am 3Q operational cash flow neg 16 million.  vs. year ago 3Q of negative 68million.  52 million improvement,1,18,107,operational cash flow neg million year ago negative million million improvement,1,0
"A quiet Carl Icahn = Bullish.  NFX shorts should be paranoid on every close as they will get acquired.  Think aapl, msft, amzn, fb",1,24,130,quiet carl icahn bullish nfx short paranoid every close get acquired think aapl msft amzn,1,1
I am an aapl bull but cannot break this trend line in OBV   ,0,13,60,aapl bull cannot break trend line obv,0,0
user Phantom7 I've been calling +4 ever since the start of this thing. 3.75 should be a given~ KCG,1,19,98,user phantom calling ever since start thing given kcg,1,0
NX on watch list above small flag on volume of 26% of ave full day so good volume  ,1,18,83,watch list small flag volume ave full day good volume,1,1
GOOG poised to clear this next resistance (buy / add area) watch action / volume closely here   ,1,17,96,goog poised clear next resistance buy add area watch action volume closely,1,1
GDP on watch list slightly over line and 50-day EMA light volume of 5% ave full day   ,1,17,86,gdp watch list slightly line day ema light volume ave full day,0,1
"Took some profits off DDD, will add if breaks 60 on volume.",1,12,59,took profit ddd add break volume,0,1
CHK - what I'm looking at - small risk position calls only. Scalp - maybe a swing XE watch.   ,1,19,94,chk looking small risk position call scalp maybe swing watch,0,0
"ONTY If the holders would just hold out or raise their ask here, this could really pop. Going to climb slowly regardless...",1,22,123,onty holder would hold raise ask could really pop going climb slowly regardless,0,1
EOG PXD OAS #energyswag,1,4,23,eog pxd oas energyswag,0,1
AAP moving down with volume. Couldnt cope with the descending trend line. Trend is still down. Perhaps 460 is not impossible after all.,0,23,135,aap moving volume couldnt cope descending trend line trend still perhaps impossible,0,0
AAP 50EMA continue to work as AAP is making lower highs in the MACO sense   ,0,15,76,aap ema continue work aap making lower high maco sense,0,0
"Went short SPY yesterday, should have picked AAP instead. Still think market needs to move down a bit then resume move to the upside.",0,24,133,went short spy yesterday picked aap instead still think market need move bit resume move upside,0,1
AAP people be realistic. Market undecided what to do with apple. Earnings will lift that cloud. If GOOD we might EAY see a reversal.,0,24,132,aap people realistic market undecided apple earnings lift cloud good might eay see reversal,0,1
Will watch the close carefully then decide whether to ONG or SHOT AAP. Below 530 SHOT!!!,0,16,88,watch close carefully decide whether ong shot aap shot,0,1
"JCP Keep an eye on this triangle. big short int, 34%. reports Feb 27. cup & handle. at DT. ong  ",1,20,96,jcp keep eye triangle big short int report feb cup handle ong,1,1
sold a little goog ...first time in a while,1,9,43,sold little goog first time,0,1
Nice cup with handle breakout on MCA,1,7,36,nice cup handle breakout mca,1,1
FAF new highs.,1,3,14,faf new high,1,1
SPY giving AAP the finger. We don't care about you anymore lol,0,12,62,spy giving aap finger care anymore lol,0,0
The Smith&Corona doing ok. AMZN,1,5,31,smith corona amzn,0,0
"VA - ong  43.07. Trailing Stop  58.98 from 11 Stops of 54.53, 52.45, 48.05, 47.32, 46.71, ... 41.32 & 39.57 -  ",1,21,111,ong trailing stop stop,0,0
AMZN alert update: a last minute push tried to shake out puts. we're hanging on for now.  ,0,17,90,amzn alert update last minute push tried shake put hanging,0,1
AAP volume higher today than monday. Keep that in mind.,1,10,55,aap volume higher today monday keep mind,0,1
"HB.A - ong  73.67. Trailing Stop  71.92 from 3 prior Stops of 70.86, 68.64 and 62.41 -  ",1,17,88,ong trailing stop prior stop,0,0
"The key is not to panic here.  AAP is in the domain of twitchy day traders on robots now, but long term should hold up on fundamentals",1,27,134,key panic aap domain twitchy day trader robot long term hold fundamental,0,0
NVDA 4 hour - love to see the vol explode.   ,1,10,45,nvda hour love see vol explode,1,1
VNG - Take a hard look at GOOG FTC settlement over patents.  FTC making GOOG play nice with VNG?  Makes Sense  ,1,21,111,vng take hard look goog ftc settlement patent ftc making goog play nice vng make sense,0,1
some worried I had gone OCO with my 737.71 up call for GOOG ! now at door step of nearly 40 move  ,1,22,98,worried gone oco call goog door step nearly move,1,0
VNG its crazy that anyone listens and trades off this tool.,1,11,59,vng crazy anyone listens trade tool,0,0
GOOG  is getting fueled by AAP's reversal.,1,7,42,goog getting fueled aap reversal,1,1
user why make a BBY offer now when he can shave 4 more off offer price? Bid went from 24-26 to just 20 in a matter of months.,0,28,125,user make bby offer shave offer price bid went matter month,0,1
NVDA - to answer your question entry (add) was the red candle at 10:50AM today. ove flags  ,1,17,91,nvda answer question entry add red candle today ove flag,0,1
"AAP 950 lot bid in the Feb 580 call at 9.50, might push the stock up or create support. 26 delta option",1,22,103,aap lot bid feb call might push stock create support delta option,0,1
"WPI - was on our short candidate list 12/31 and we missed it, got started short today",0,17,85,wpi short candidate list missed got started short today,0,0
MYE breaking out,1,3,16,mye breaking,1,0
Short HT under the 200 SMA stop just over the high of the day. First target 53.95. Second target 53.21 gap fill.,0,22,112,short sma stop high day first target second target gap fill,0,0
QCOM introduces StreamBoost:  average home connects up to seven devices to the Internet,1,13,87,qcom introduces streamboost average home connects seven device internet,1,1
NVDA love to see momo this next week like previous histogram bars noted.   ,0,13,75,nvda love see momo next week like previous histogram bar noted,1,1
HMA unusual option activity. Trader buys 11k of the Jan 9 Put. Short term bear play,0,16,83,hma unusual option activity trader buy k jan put short term bear play,0,0
"ADBE option trader buys 5,300 of the Feb 39C against OI of 741. Bet is on stock above 39 by Feb 16th",1,22,100,adbe option trader buy feb c bet stock feb th,1,1
"NVDA ooks bullish but it must stay above 13.05 on a closing basis (monthly), EPS say no?  ",0,17,90,nvda ooks bullish must stay closing basis monthly eps say,0,1
SQNM from watch list over line on volume of 86% of ave full day  ,1,14,65,sqnm watch list line volume ave full day,1,1
HOTT Failed breakout?  ,0,3,23,hott failed breakout,0,0
ZN_F ticking up.. I'd be a seller of SDJPY here (*if I weren't already)...,0,14,74,ticking seller sdjpy already,0,0
"INO Wow, nice accumulation today, heavy...",1,6,42,ino wow nice accumulation today heavy,1,1
ZNGA Fat juicy Short back to lower levels as it closes Gap  2.72?  ,0,13,67,znga fat juicy short back lower level close gap,0,0
GDOT nice bounce from its 50SMA. ooks ready to test the recent highs  ,1,13,70,gdot nice bounce sma ooks ready test recent high,1,1
HMA ooking for 10's; headed higher!  ,1,6,37,hma ooking headed higher,1,1
"SPF ooking for 9's, headed higher with lower rates.  ",1,9,53,spf ooking headed higher lower rate,1,0
"GS JPM XF HOD, they are hungry for stocks out there... SPY",1,12,58,jpm hod hungry stock spy,1,0
CHK weekly bullish engulfing   ,1,4,31,chk weekly bullish engulfing,1,1
GS looks good heading into next week.,1,7,37,look good heading next week,1,1
AAP all i know is ipad minis are out of stock everywhere. been going to 8 different stores and none of them have em in stock,1,26,124,aap know ipad mini stock everywhere going different store none stock,0,0
As goog explodes and aapl implodes MINTE 21 to 23 of user vid from a few years ago have Mark nailing the subject  ,1,23,114,goog explodes aapl implodes minte user vid year ago mark nailing subject,0,0
"KKD Krispy Kreme Doughnuts, Inc. at IC XChange Conference (ive) 01/17/13 at 9:15 a.m. ET",1,15,88,kkd krispy kreme doughnut inc xchange conference ive,0,1
Picked up FS on pullback due to downgrade. Held support to close week. First PT 37.30  ,1,16,87,picked pullback due downgrade held support close week first,0,0
"user: I've been picking this one for a while, but I'm calling KKD as the next food company to make a DPZ like run in TWENTY13.",1,26,126,user picking one calling kkd next food company make dpz like run twenty,0,0
"ZNGA Still shows red and dead on a enko view, PF Box size 0.25  ",0,14,64,znga still show red dead enko view box size,0,1
"GS enko view of GS, PF Box size = 5 showing potential to break to 175  ",1,16,71,enko view box size showing potential break,0,0
"NVDA enko view showing red and dead, need 14 or more for a long & less than 13 for a short  ",0,21,92,nvda enko view showing red dead need long less short,0,0
"CSX enko view, PF Box size = 1,  VEY bullish above 21, coal stocks confirming move on rails.  ",1,18,94,csx enko view box size vey bullish coal stock confirming move rail,1,1
GOOG And on enko w/ a PF Box size of 50 it looks like a failed breakout  ,0,17,73,goog enko box size look like failed breakout,0,0
user At 155 for GS but very bullish on fins as rates are low = The FED Put!,1,18,75,user bullish fin rate low fed put,1,1
user ZNGA I use lagging indicators on lagging stocks ;),0,10,55,user znga use lagging indicator lagging stock,0,0
"GOOG, I like it with a close above 744.96",1,9,41,goog like close,1,1
FS b/o above bull flag on heavy vol. etest of support today on light vol. 41% short float  ,1,18,91,bull flag heavy vol etest support today light vol short float,0,1
MSFT gap close. Continues base. SI rising. Nice : pickup w/ stop below major support & 28.22 PT.  ,1,18,98,msft gap close continues base rising nice pickup stop major support,1,1
Financials continue ripping. Easy money. C approaching 43 PT  ,1,9,62,financials continue ripping easy money approaching,1,0
VS follow throughs. 10 DMA crossing above 200 DMA. Trading above all MA's. Great setup  ,1,15,88,follow throughs dma crossing dma trading great setup,1,1
"user BAC Yeah ... they made the easy profits by slashing jobs, now they have to close win-win sales.",0,19,100,user bac yeah made easy profit slashing job close win win sale,0,1
New buys today from watch list all did well  NX 20% SONS YEP  BCEI  GDP  AY and SQNM Total triggers this week 39 - a big week,1,27,125,new buy today watch list well son yep bcei gdp sqnm total trigger week big week,1,1
"SBX  #SI #EarthThis is the kind of stuff that makes us perk up (so sorry!).but, go on...bullish five waves to 58.    ",1,21,117,sbx earththis kind stuff make perk sorry bullish five wave,0,0
"Can you say no brainier? ong SBAC stock, 60/80 Feb collar for protection...  ",1,13,77,say brainier ong sbac stock feb collar protection,0,0
Anyone can say how much svu would go even if the deal goes through? 4? 5? Not sure if much upside left.,1,22,103,anyone say much svu would even deal go sure much upside left,0,1
NVDA the bounce continues and the stock has now cleared its 200SMA and the 13 level. ong   ,1,17,91,nvda bounce continues stock cleared sma level ong,1,1
AXTI Momentum picking up w/ MACD climbing/SI rising.OBV indicator made a new higher high this week  ,1,16,100,axti momentum picking macd climbing rising obv indicator made new higher high week,1,1
GDOT OBV is moving upwards which means that big money is moving into the stock slowly. ong  ,1,17,92,gdot obv moving upwards mean big money moving stock slowly ong,1,1
aapl daily (see notes)  ,1,4,24,aapl daily see note,0,0
AMZN daily (see notes)  ,1,4,24,amzn daily see note,0,1
C daily (see notes)   ,1,4,22,daily see note,0,1
"EGOV long 16.62 strong above all MA's, resting/basing, room to upper bolly to absorb 10/20 day atr  ",1,17,100,egov long strong resting basing room upper bolly absorb day atr,1,1
AA Fibs   Friends   ,1,3,20,fib friend,0,1
TSA: Judge Dismisses Massachusetts State Automobile Dealers Association awsuit -  ,1,10,82,tsa judge dismisses massachusetts state automobile dealer association awsuit,0,0
BAC up trending doesn't appear to slow down as of yet. It's prudent to take some profit at time.  ,1,19,98,bac trending appear slow yet prudent take profit time,0,0
"FE - looks like it fired a sell signal Friday, may trade this short on tick below Friday low - have to do more work on utilities later...",0,28,137,look like fired sell signal friday may trade short tick friday low work utility later,0,0
coh also got rejected by cloud but still in slight uptrend for past few. buy when it enters cloud  ,1,19,99,coh also got rejected cloud still slight uptrend past buy enters cloud,0,0
yum looks good here out of cloud with stops of either 200 sma or cloud under it. target of 50 sma  ,1,21,99,yum look good cloud stop either sma cloud target sma,1,1
EQIX EXPE FB GS HOG MON PII QCOM QIH SODA Some ideas for next week.  Favorite setup is EQIX  ,1,19,93,eqix expe hog mon pii qcom qih soda idea next week favorite setup eqix,0,1
